algo,ds,orders_num
algo_1,20231008,283418.4
algo_1,20231009,308282.63
algo_1,20231010,361552.08
algo_1,20231011,230089.12
algo_1,20231012,268050.17
algo_1,20231013,382063.26
algo_1,20231014,287455.45
algo_1,20231015,270015.75
algo_1,20231016,277279.59
algo_1,20231017,305030.0
algo_1,20231018,311000.68
algo_1,20231019,394407.96
algo_1,20231020,295132.23
algo_1,20231021,291314.82
algo_2,20231008,283413.68
algo_2,20231009,325921.15
algo_2,20231010,370689.89
algo_2,20231011,228573.89
algo_2,20231012,270145.77
algo_2,20231013,388016.72
algo_2,20231014,282392.65
algo_2,20231015,279324.31
algo_2,20231016,282297.74
algo_2,20231017,301273.42
algo_2,20231018,284933.57
algo_2,20231019,384903.98
algo_2,20231020,267208.73
algo_2,20231021,267814.97
algo_3,20231008,304133.89
algo_3,20231009,325985.11
algo_3,20231010,371152.75
algo_3,20231011,227820.73
algo_3,20231012,272811.19
algo_3,20231013,375626.4
algo_3,20231014,285399.29
algo_3,20231015,269891.89
algo_3,20231016,271833.3
algo_3,20231017,306959.32
algo_3,20231018,281248.46
algo_3,20231019,407312.33
algo_3,20231020,279974.64
algo_3,20231021,276044.64
algo_4,20231008,287878.84
algo_4,20231009,312753.35
algo_4,20231010,359945.61
algo_4,20231011,243071.77
algo_4,20231012,258229.83
algo_4,20231013,389968.18
algo_4,20231014,278406.16
algo_4,20231015,291564.11
algo_4,20231016,278178.46
algo_4,20231017,265780.08
algo_4,20231018,301143.63
algo_4,20231019,398893.71
algo_4,20231020,272624.08
algo_4,20231021,258003.58
algo_5,20231008,286908.05
algo_5,20231009,332053.49
algo_5,20231010,338896.75
algo_5,20231011,243629.44
algo_5,20231012,262755.91
algo_5,20231013,389232.88
algo_5,20231014,287167.95
algo_5,20231015,276654.81
algo_5,20231016,279486.6
algo_5,20231017,302947.36
algo_5,20231018,287543.64
algo_5,20231019,403969.71
algo_5,20231020,309591.69
algo_5,20231021,308024.17
